0,0.023256,0,0,0,0.046512,0,0,0.046512,0.069767,0.023256,0,0,0,0.023256,0,0,0,0.023256,0,0.023256,0,0.023256,0,0,0,0.023256,0,0,0.023256,0.046512,0.023256,0,0,0,0,0,0.023256,0,0.023256,0,0.023256,0.023256,0,0,0,0.046512,0,0,0,0,0,0.046512,0.093023,0.069767,0.023256,0,0.11628,0,0,0,0.069767,0.023256,0
0,0,0.025,0,0,0.05,0,0,0,0,0.025,0.025,0.025,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0.025,0.025,0,0.05,0,0.025,0.025,0,0,0.05,0,0.025,0,0.025,0,0,0,0,0,0,0.025,0,0,0.075,0.05,0,0.075,0,0.075,0,0,0.025,0.025,0.1,0.025
0,0.038462,0,0,0.038462,0,0.038462,0.038462,0,0,0.076923,0,0,0.076923,0,0,0,0,0,0.038462,0,0.038462,0.038462,0,0,0,0,0,0,0,0.038462,0,0.038462,0,0,0,0.038462,0.076923,0.076923,0,0,0,0,0,0,0,0,0.038462,0,0,0,0,0,0,0.038462,0.038462,0,0,0.038462,0,0,0.076923,0.076923,0
0,0.045455,0.090909,0,0,0,0,0,0,0.045455,0,0,0,0.090909,0,0,0,0,0.045455,0,0,0.045455,0,0,0.045455,0.090909,0,0,0,0.045455,0,0,0,0,0,0,0,0.090909,0.045455,0,0,0,0,0.045455,0,0,0,0,0,0,0,0,0,0,0.045455,0,0,0.045455,0,0.045455,0,0,0.13636,0
0.041096,0.068493,0.041096,0.013699,0.041096,0.027397,0,0,0.013699,0.013699,0.013699,0,0.027397,0.082192,0,0.013699,0.013699,0.013699,0.013699,0,0,0,0.013699,0.013699,0.013699,0.041096,0.013699,0.013699,0,0.013699,0,0,0.013699,0.027397,0,0.013699,0.013699,0.041096,0,0,0.013699,0.027397,0,0.013699,0.013699,0,0.027397,0,0,0.027397,0,0.041096,0,0,0.013699,0.013699,0,0.041096,0,0.013699,0.027397,0.027397,0.013699,0.013699
0,0,0.027397,0.027397,0,0.027397,0,0.013699,0,0.027397,0.027397,0.013699,0,0.082192,0,0.013699,0.013699,0.041096,0.013699,0.013699,0.013699,0.027397,0.027397,0,0,0.013699,0,0,0.013699,0.041096,0.027397,0.041096,0.027397,0.013699,0,0.013699,0,0.041096,0.013699,0,0,0,0,0,0,0.027397,0.041096,0.013699,0,0.013699,0,0,0.013699,0.027397,0,0,0,0.054795,0.041096,0.013699,0,0.09589,0,0
0,0,0,0.021739,0,0.021739,0.021739,0.021739,0,0.043478,0.065217,0,0,0.086957,0.021739,0.021739,0,0,0.043478,0,0.065217,0,0.021739,0,0.021739,0.021739,0,0,0,0,0.021739,0,0,0,0.021739,0,0,0.021739,0.021739,0,0.065217,0.021739,0,0.021739,0,0.021739,0.065217,0,0,0.021739,0,0.021739,0,0.021739,0.065217,0.021739,0,0.021739,0,0,0,0,0.043478,0
0,0.013889,0.069444,0,0.027778,0.027778,0.013889,0,0.013889,0.013889,0,0.013889,0.027778,0.027778,0.083333,0.041667,0,0,0.013889,0,0,0,0.027778,0,0,0,0,0.013889,0.027778,0,0.013889,0.013889,0.013889,0.013889,0,0.013889,0.041667,0.055556,0,0,0,0.027778,0,0.013889,0,0.027778,0.027778,0.013889,0,0.027778,0,0,0.013889,0.027778,0.041667,0,0,0.027778,0.027778,0.013889,0,0.055556,0.013889,0.013889
0.028571,0.028571,0.028571,0.085714,0,0,0.057143,0,0,0,0.028571,0.028571,0.028571,0,0,0.057143,0.028571,0.028571,0,0.057143,0,0,0,0.028571,0,0.028571,0,0.028571,0,0,0,0,0,0,0,0.028571,0,0.057143,0,0.057143,0,0.028571,0,0.028571,0.028571,0,0.028571,0,0,0,0,0,0.028571,0.028571,0,0.028571,0,0.028571,0,0,0.028571,0,0.028571,0
0,0.013889,0,0.013889,0,0.013889,0.013889,0.027778,0,0.013889,0,0,0,0.013889,0.013889,0.013889,0.027778,0,0.055556,0.013889,0,0.027778,0,0,0,0.027778,0,0,0.013889,0.013889,0.11111,0.013889,0.027778,0.013889,0.069444,0.027778,0,0.083333,0.013889,0.013889,0.027778,0.041667,0,0.013889,0.027778,0.013889,0.013889,0,0,0.013889,0,0.013889,0,0.027778,0.027778,0,0,0.041667,0,0,0,0.013889,0.013889,0.013889
