feature_name,importance
3_framed_TDE.CTG,8
DPC_NG,8
3_framed_TDE.ACA,8
2_framed_CC.gap1,8
2_framed_CAG,8
DPC_QD,8
2_framed_TDE.GTG,8
CTDD_108,8
DPC_SW,8
DPC_SI,8
2_framed_TDE.ACA,8
CTDC_31,8
2_framed_GAG,8
2_framed_GAT,8
2_framed_TDE.CAA,8
DPC_VI,8
DPC_RR,8
CTDD_84,8
1_framed_TDE.GAT,8
CTDD_102,8
1_framed_TDE.GAG,8
2_framed_TDE.GAT,8
1_framed_GTG,7
CTDC_1,7
DPC_NF,7
2_framed_CAT,7
DPC_QK,7
DPC_NI,7
DPC_ET,7
DPC_MQ,7
3_framed_GTC,7
DPC_NK,7
DPC_HK,7
CTDC_9,7
1_framed_CGC,7
DPC_ML,7
3_framed_GCC,7
2_framed_ACA,7
DPC_PF,7
CTDT_6,7
DPC_LD,7
CTDC_12,7
CTDT_8,7
1_framed_TGC,7
CTDC_16,7
2_framed_TDE.GAC,7
3_framed_TTC,7
2_framed_TDE.TTT,7
2_framed_TDE.CTC,7
2_framed_TDE.AAT,7
CTDD_130,7
2_framed_TDE.AAA,7
AAC_S,7
DPC_AH,7
CTDD_48,7
2_framed_TDE.TCA,7
DPC_CF,7
CTDD_35,7
CTDD_32,7
2_framed_TDE.TTA,7
CTDD_19,7
2_framed_TDE.GTT,7
1_framed_TDE.ACA,7
3_framed_TDE.CAC,7
CTDD_80,7
CTDD_2,7
CTDD_8,7
DPC_QY,6
CTDD_103,6
1_framed_GAG,6
CTDT_16,6
DPC_TK,6
3_framed_TDE.TCC,6
CTDT_32,6
DPC_SR,6
1_framed_TDE.TGT,6
2_framed_CGC,6
2_framed_GAA,6
CTDD_135,6
CTDD_5,6
DPC_SS,6
AAC_V,6
DPC_IF,6
2_framed_GCG,6
CTDD_87,6
DPC_RE,6
DPC_ER,6
CTDT_17,6
2_framed_TDE.AAG,6
AAC_L,6
1_framed_GCT,6
2_framed_AAG,6
2_framed_CA.gap1,6
CTDT_29,6
DPC_RM,6
1_framed_TTA,6
1_framed_GTA,6
2_framed_GCA,6
2_framed_TDE.CGC,6
DPC_AN,6
CTDD_10,6
1_framed_CAA,6
CTDC_5,6
1_framed_ATG,6
DPC_PK,6
2_framed_TCA,6
DPC_CV,6
2_framed_TAC,6
CTDD_145,6
1_framed_CCC,6
DPC_GN,6
DPC_PI,6
2_framed_TDE.TCG,6
DPC_GR,6
3_framed_GT.gap1,6
2_framed_TDE.TGT,6
1_framed_TDE.AGA,6
1_framed_CTG,6
DPC_WK,6
DPC_LH,6
3_framed_GCG,6
2_framed_TGG,6
CTDD_97,5
1_framed_AGC,5
CTDD_76,5
3_framed_TDE.TGA,5
DPC_LV,5
DPC_PN,5
3_framed_TDE.CGG,5
DPC_RA,5
1_framed_ACG,5
DPC_QI,5
DPC_KR,5
2_framed_TDE.TGA,5
2_framed_TDE.TAT,5
3_framed_TDE.TAC,5
3_framed_TDE.TTT,5
1_framed_GAA,5
2_framed_TDE.TTG,5
1_framed_CTT,5
DPC_IG,5
CTDD_115,5
DPC_CT,5
1_framed_TDE.GGT,5
DPC_RT,5
DPC_YN,5
1_framed_TDE.CTT,5
CTDD_153,5
CTDD_155,5
DPC_FW,5
CTDD_27,5
1_framed_TDE.ATT,5
DPC_WR,5
DPC_FN,5
DPC_DE,5
1_framed_TDE.ACG,5
CTDD_16,5
DPC_DQ,5
DPC_FC,5
3_framed_GTT,5
3_framed_TGA,5
2_framed_GTC,5
DPC_CA,5
DPC_VW,5
DPC_TG,5
DPC_IY,5
DPC_IW,5
2_framed_TDE.AGT,5
DPC_SN,5
1_framed_CC.gap1,5
DPC_IC,5
DPC_ST,5
CTDD_141,5
AAC_W,5
3_framed_GTA,5
CTDD_55,5
DPC_VD,5
DPC_HG,5
DPC_AC,5
CTDD_134,4
CTDD_58,4
CTDD_65,4
CTDC_21,4
CTDD_81,4
DPC_YI,4
