feature_name,importance
DPC_VR,6
DPC_IQ,6
DPC_NT,6
CTDC_15,6
CTDD_68,6
CTDD_9,5
3_framed_ATC,5
1_framed_TT.gap1,5
CTDD_111,5
CTDD_105,5
CTDC_37,5
CTDD_8,5
DPC_RI,5
CTDD_112,5
DPC_WW,5
CTDD_71,5
CTDD_103,5
DPC_RH,5
CTDD_74,5
DPC_VE,5
CTDD_83,5
DPC_GY,5
2_framed_TAA,5
DPC_KC,5
CTDD_91,5
3_framed_TAC,5
CTDC_3,5
DPC_LG,5
CTDD_24,5
CTDD_96,5
DPC_LR,5
DPC_LT,5
CTDD_23,5
DPC_GH,5
1_framed_TDE.GAG,5
2_framed_TDE.TAT,5
3_framed_TDE.CCG,5
1_framed_TTC,5
3_framed_TDE.ATT,5
DPC_CF,5
1_framed_GAG,5
1_framed_TCC,5
2_framed_TDE.CCT,5
CTDD_178,5
2_framed_TDE.ACC,5
3_framed_TDE.GGG,5
CTDT_29,5
2_framed_TDE.CTG,5
CTDD_182,5
1_framed_TDE.TCA,5
CTDT_32,5
2_framed_GGC,4
2_framed_TTT,4
1_framed_TDE.GGA,4
1_framed_GTG,4
1_framed_GAA,4
CTDT_1,4
3_framed_TDE.CGA,4
CTDD_2,4
1_framed_TDE.CTA,4
3_framed_TDE.CCT,4
DPC_LI,4
DPC_LP,4
1_framed_TDE.GCA,4
1_framed_TDE.CGA,4
DPC_CP,4
1_framed_TDE.ACG,4
DPC_PI,4
CTDD_60,4
1_framed_GGA,4
3_framed_TDE.CTG,4
2_framed_TDE.ACT,4
3_framed_TDE.GCA,4
DPC_AV,4
DPC_IT,4
CTDC_6,4
CTDD_52,4
CTDD_184,4
DPC_AI,4
3_framed_TDE.TGT,4
1_framed_GCC,4
3_framed_GCG,4
3_framed_CCA,4
DPC_QD,4
DPC_FA,4
3_framed_TGT,4
DPC_GQ,4
DPC_FF,4
CTDD_115,4
DPC_ER,4
2_framed_TDE.GTA,4
CTDD_119,4
CTDD_133,4
DPC_FS,4
CTDD_141,4
CTDD_97,4
2_framed_ACT,4
2_framed_TDE.TTC,4
CTDD_160,4
DPC_GP,4
2_framed_CCT,4
CTDC_9,4
2_framed_AAT,4
